# DATE: 2017-02-20 UNITS: metal CONTRIBUTOR: Mitchell Wood mitwood@sandia.gov CITATION: Juslin, N. and Wirth, B. D. Journal of Nuclear Materials, 423, (2013) p61-63
# 
#-> LAMMPS Potential File in tabular format.                    <-#
# N. Juslin and B.D. Wirth, J. Nucl. Mater. 432: 61-66 (2013).    #
# Implemented by K.D. Hammond (2013) karlh@utk.edu
WHe
N 325

1       0.000001 193967.941432641     21165142.7035409
2       0.02     88781.7058271842     5199760.86773195
3       0.03     54461.7226844158     2255783.27652381
4       0.04     37754.4525147374     1233285.07338825
5       0.05     28027.0551422937     765154.791685769
6       0.06     21746.7711436002     514318.047209743
7       0.07     17407.2122555268     365457.111099578
8       0.08      14260.380890756     270524.172812057
9       0.09      11894.315375388     206649.630589727
10        0.1     10064.3593879466     161847.200920021
11       0.11     8616.61401638085     129358.142417815
12       0.12      7449.7679909506     105145.917230655
13       0.13     6494.61875555217     86685.1834957916
14       0.14     5702.42313976808     72334.2424211515
15       0.15     5037.94580316996     60990.8171175998
16       0.16     4475.14199778904     51894.0939422829
17       0.17     3994.38401078788      44506.229619365
18       0.18     3580.62666819885     38438.9489608325
19       0.19     3222.16279673461     33406.7013437966
20        0.2     2909.75986785247      29195.976537891
21       0.21     2636.04908399207     25644.7364933058
22       0.22     2395.08534986163     22628.3414553063
23       0.23     2182.02521022247      20049.740107058
24       0.24     1992.88767473625     17832.5164484929
25       0.25       1824.374223221     15915.8858113167
26       0.26     1673.73168801722     14251.0430039002
27       0.27     1538.64662154286     12798.4627755747
28       0.28     1417.16307190682     11525.8804272463
29       0.29     1307.61796220838     10406.7644777657
30        0.3     1208.58985019291     9419.14958758174
31       0.31      1118.8579596074     8544.73619272459
32       0.32     1037.36917029033     7768.18965475981
33       0.33     963.211228625566     7076.59012069084
34       0.34     895.590859433663      6458.9972713357
35       0.35     833.815769676712     5906.10340798657
36       0.36      777.27976462076      5409.9550164674
37       0.37     725.450370074705     4963.72782166695
38       0.38     677.858485369477     4561.54392990095
39       0.39     634.089691821654      4198.3223154716
40        0.4     593.776918443069     3869.65589682796
41       0.41     556.594226358163     3571.70994736531
42       0.42     522.251519987548     3301.13772506169
43       0.43     490.490029664824     3055.01007668961
44       0.44      461.07843929567     2830.75644369566
45       0.45     433.809555685745     2626.11521737135
46       0.46     408.497434574275     2439.09179705296
47       0.47     384.974893215623     2267.92302383156
48       0.48     363.091351319355     2111.04691385653
49       0.49     342.710951882019     1967.07681501168
50        0.5     323.710921379843     1834.77927007332
51       0.51     305.980135298364     1713.05499722693
52       0.52     289.417860333203      1600.9225017701
53       0.53     273.932649026687     1497.50391617084
54       0.54      259.44136628296      1402.0127334168
55       0.55      245.86833026895     1313.74315392891
56       0.56     233.144552771494     1232.06081168718
57       0.57     221.207066231741      1156.3946825672
58       0.58     209.998326488761     1086.23000874818
59       0.59     199.465681793803     1021.10209864685
60        0.6     189.560899952328     960.590883129588
61       0.61     180.239746551915     904.316126537919
62       0.62     171.461608172096     851.933205957983
63       0.63     163.189155273495     803.129384679904
64       0.64     155.388040149985      757.62051633995
65       0.65     148.026625916815     715.148125151611
66       0.66     141.075743014823     675.476815185188
67       0.67     134.508470148273     638.391968073426
68       0.68     128.299936952045     603.697693987706
69       0.69     122.427146011509     571.215005397664
70        0.7     116.868812142757     540.780187122909
71       0.71     111.605217088269     512.243339613345
72       0.72     106.618077998551     485.467075341772
73       0.73     101.890428258492      460.32535073159
74       0.74     97.4065093817089     436.702418234594
75       0.75     93.1516728402801     414.491885070093
76       0.76     89.1122908237631     393.595866780115
77       0.77     85.2756750325343      373.92422518237
78       0.78     81.6300027083206     355.393881543952
79       0.79     78.1642491910339     337.928196880203
80        0.8     74.8681263671512     321.456412227117
81       0.81     71.7320264421784     305.913142560798
82       0.82     68.7469705293107     291.237918759986
83       0.83     65.9045615992059     277.374772641144
84       0.84     63.1969413826496     264.271860652001
85       0.85     60.6167508595336     251.881122298665
86       0.86     58.1570940046202     240.157969812335
87       0.87     55.8115044935616     229.061005941579
88       0.88     53.5739151020755     218.551767091662
89       0.89     51.4386295574478     208.594489329042
90        0.9      49.400296625012      199.15589503172
91       0.91     47.4538862332645     190.204998198848
92       0.92     45.5946674600827     181.712926639528
93       0.93      43.818188219384     173.652759444123
94       0.94     42.1202565026948     165.999378304597
95       0.95     40.4969230436942     158.729331395598
96       0.96      38.944465286023     151.820708657476
97       0.97     37.4593725456438     145.253027437895
98       0.98       36.03833226895      139.00712755184
99       0.99     34.6782172967515     133.065074912029
100          1     33.3760740523261     127.410072964226
101       1.01     32.1291115790037     122.026381235854
102       1.02     30.9346913593292     116.899240372539
103       1.03     29.7903178538011     112.014803096661
104       1.04     28.6936297025718     107.360070575369
105       1.05     27.6423915383737     102.922833733498
106       1.06     26.6344863633652       98.69161908997
107       1.07     25.6679084466039     94.6556387351718
108       1.08     24.7407567025028      90.804744101767
109       1.09     23.8272933774771     87.0424919424945
110        1.1     22.9746938084833      83.501083250349
111       1.11     22.1568053467682     80.0995862713648
112       1.12      21.372249301539     76.8339257499533
113       1.13     20.6196874341871     73.7000865054019
114       1.14     19.8978213575361     70.6941134318681
115       1.15     19.2053919350916     67.8121114983956
116       1.16     18.5411786802966     65.0502457488983
117       1.17     17.9039991557794     62.4047413021631
118       1.18     17.2927083726064     59.8718833518619
119       1.19     16.7061981895337     57.4480171665332
120        1.2     16.1433967122567     55.1295480895992
121       1.21     15.6032676926612     52.9129415393513
122       1.22     15.0848099280771     50.7947230089626
123       1.23     14.5870566605305     48.7714780664787
124       1.24     14.1090749759875     46.8398523548244
125       1.25     13.6499652036138     44.9965515917961
126       1.26     13.2088603150229     43.2383415700692
127       1.27      12.784925323525     41.5620481571964
128       1.28     12.3773566833817     39.9645572956038
129       1.29     11.9853816890583     38.4428150025965
130        1.3       11.60825787447     36.9938273703497
131       1.31     11.2452724122346     35.6146605659201
132       1.32     10.8957415129272     34.3024408312399
133       1.33     10.5590098243284     33.0543544831148
134       1.34      10.234449830679     31.8676479132323
135       1.35     9.92146125192414      30.739627588146
136       1.36     9.61947044297006     29.6676600492951
137       1.37     9.32792979293674     28.6491719129885
138       1.38     9.04631712440562     27.6816498704143
139       1.39     8.77413509267092     26.7626406876384
140        1.4     8.51091058499253     25.8897512055996
141       1.41     8.25619411984519     25.0606483401084
142       1.42     8.00955924617449     24.2730590818669
