LAMMPS data file created for rigid body molecule template

5 atoms

2.3388800000000005 mass

6.002239704473936 4.99 4.989999999999999 com

116.79265620480001 144.26721336320003 144.26721336320006 -70.05220681600004 -70.05220681600002 -58.238345888000005 inertia

Coords

1 5 5 5
2 5.1 5.0 5.0
3 5.2 5.0 5.0
4 6.2 5.0 5.0
5 7.2 5.0 5.0

Types

1 1
2 1
3 1
4 1
5 1

Diameters

1 1.0
2 0.9
3 1.2
4 1.2
5 1.0

Masses

1 0.5235987755982988
2 0.3817035074111599
3 0.9047786842338602
4 0.9047786842338602
5 0.5235987755982988
