Pair_P-O
N   4995

1  0.01  1.0000000e+24  1.2000000e+27
2  0.012  1.1215665e+23  1.1215665e+26
3  0.014  1.7638578e+22  1.5118781e+25
4  0.016  3.5527137e+21  2.6645353e+24
5  0.018  8.6443022e+20  5.7628681e+23
6  0.02  2.4414063e+20  1.4648438e+23
7  0.022  7.7790727e+19  4.2431306e+22
8  0.024  2.7381996e+19  1.3690998e+22
9  0.026  1.0479000e+19  4.8364614e+21
10  0.028  4.3062935e+18  1.8455543e+21
11  0.03  1.8816764e+18  7.5267057e+20
12  0.032  8.6736174e+17  3.2526065e+20
13  0.034  4.1903760e+17  1.4789562e+20
14  0.036  2.1104253e+17  7.0347511e+19
15  0.038  1.1030542e+17  3.4833290e+19
16  0.04  5.9604645e+16  1.7881393e+19
17  0.042  3.3190097e+16  9.4828847e+18
18  0.044  1.8991877e+16  5.1796027e+18
19  0.046  1.1140534e+16  2.9062263e+18
20  0.048  6.6850576e+15  1.6712644e+18
21  0.05  4.0960000e+15  9.8304000e+17
22  0.052  2.5583495e+15  5.9038835e+17
23  0.054  1.6265780e+15  3.6146177e+17
24  0.056  1.0513412e+15  2.2528740e+17
25  0.058  6.9002381e+14  1.4276355e+17
26  0.06  4.5939366e+14  9.1878732e+16
27  0.062  3.0995577e+14  5.9991439e+16
28  0.064  2.1175824e+14  3.9704669e+16
29  0.066  1.4637698e+14  2.6613996e+16
30  0.068  1.0230410e+14  1.8053665e+16
31  0.07  7.2247616e+13  1.2385306e+16
32  0.072  5.1524056e+13  8.5873427e+15
33  0.074  3.7086800e+13  6.0140757e+15
34  0.076  2.6930033e+13  4.2521105e+15
35  0.078  1.9718087e+13  3.0335518e+15
36  0.08  1.4551915e+13  2.1827873e+15
37  0.082  1.0820162e+13  1.5834384e+15
38  0.084  8.1030509e+12  1.1575787e+15
39  0.086  6.1096817e+12  8.5251373e+14
40  0.088  4.6366887e+12  6.3227572e+14
41  0.09  3.5407062e+12  4.7209415e+14
42  0.092  2.7198570e+12  3.5476396e+14
43  0.094  2.1011921e+12  2.6823729e+14
44  0.096  1.6320941e+12  2.0401177e+14
45  0.098  1.2743452e+12  1.5604227e+14
46  0.1  1.0000000e+12  1.2000000e+14
47  0.102  7.8849318e+11  9.2763903e+13
48  0.104  6.2459705e+11  7.2068890e+13
49  0.106  4.9696937e+11  5.6260683e+13
50  0.108  3.9711376e+11  4.4123751e+13
51  0.11  3.1863082e+11  3.4759726e+13
52  0.112  2.5667510e+11  2.7500903e+13
53  0.114  2.0755911e+11  2.1848327e+13
54  0.116  1.6846285e+11  1.7427191e+13
55  0.118  1.3721953e+11  1.3954528e+13
56  0.12  1.1215666e+11  1.1215666e+13
57  0.122  9.1977596e+10  9.0469762e+12
58  0.124  7.5672800e+10  7.3231738e+12
59  0.126  6.2453027e+10  5.9479069e+12
60  0.128  5.1698793e+10  4.8467614e+12
61  0.13  4.2921987e+10  3.9620292e+12
62  0.132  3.5736571e+10  3.2487788e+12
63  0.134  2.9836129e+10  2.6718918e+12
64  0.136  2.4976592e+10  2.2038166e+12
65  0.138  2.0962885e+10  1.8228592e+12
66  0.14  1.7638582e+10  1.5118781e+12
67  0.142  1.4877844e+10  1.2572822e+12
68  0.144  1.2579119e+10  1.0482596e+12
69  0.146  1.0660213e+10  8.7618161e+11
70  0.148  9.0543985e+09  7.3414012e+11
71  0.15  7.7073505e+09  6.1658775e+11
72  0.152  6.5747191e+09  5.1905648e+11
73  0.154  5.6201984e+09  4.3793726e+11
74  0.156  4.8139898e+09  3.7030663e+11
75  0.158  4.1315722e+09  3.1379003e+11
76  0.16  3.5527174e+09  2.6645355e+11
77  0.162  3.0606971e+09  2.2671805e+11
78  0.164  2.6416448e+09  1.9329084e+11
79  0.166  2.2840396e+09  1.6511105e+11
80  0.168  1.9782875e+09  1.4130601e+11
81  0.17  1.7163815e+09  1.2115611e+11
82  0.172  1.4916250e+09  1.0406664e+11
83  0.174  1.2984050e+09  8.9544952e+10
84  0.176  1.1320075e+09  7.7182113e+10
