   3.668   10.082   15.904
   3.224   10.451   15.101
   3.092   10.379   16.627
   6.033    4.876   20.891
   6.078    5.224   21.798
   6.592    4.088   20.961
   5.186   16.696   12.072
   6.083   16.979   11.816
   5.337   15.832   12.490
   8.324   13.811   21.332
   8.633   13.348   22.112
   8.506   13.116   20.645
   3.786   16.318    1.310
   3.781   15.388    1.196
   4.528   16.580    0.781
   6.205    6.991   18.442
   6.782    7.347   19.152
   5.309    7.062   18.800
   2.750    8.844    9.629
   2.110    8.290    9.998
   2.164    9.245    8.962
   3.935   16.195   22.109
   4.870   16.034   21.985
   3.655   15.367   22.581
  10.674    8.909    4.986
  10.998    8.871    5.932
   9.748    9.270    5.075
   0.002    5.667   14.591
   0.483    5.990   13.830
   0.608    5.781   15.347
   9.882    9.156   14.916
   9.574    9.753   15.597
  10.021    8.264   15.289
   1.661    6.681    1.943
   1.943    5.739    1.981
   0.778    6.599    1.483
   4.821   20.603   11.239
   5.466   20.782   11.963
   5.384   20.914   10.456
  15.022   20.855   12.831
  14.222   20.809   13.292
  14.673   21.057   11.918
   1.339    3.782   22.814
   0.839    3.425   22.087
   1.775    3.077   23.138
   0.485   15.137   22.476
   0.644   15.425   23.349
   0.312   15.961   21.975
  10.426    7.604    2.404
  10.761    8.401    1.994
  10.248    7.889    3.308
   4.269   22.752   16.265
   4.149   23.680   15.888
   5.061   22.796   16.776
  10.926    5.365    1.018
  11.138    4.769    1.754
  10.657    6.212    1.493
   8.647    4.314   19.278
   7.964    3.611   19.326
   8.043    5.064   19.153
   8.381   17.319   23.275
   7.516   17.340   23.695
   8.431   18.263   23.009
   4.299   17.774    7.169
   3.303   17.803    7.322
   4.533   18.755    6.924
   8.892   12.977    5.321
   8.119   12.478    5.443
   9.342   12.557    4.536
   2.174   18.468    2.212
   2.632   17.628    2.203
   2.931   19.120    2.281
  13.612   17.680   18.622
  13.744   17.414   19.508
  14.526   17.831   18.347
   9.935   12.876   10.191
   9.709   12.098    9.634
   9.472   12.766   11.018
   7.060    2.074   19.830
   7.650    1.619   20.528
   6.148    1.796   20.035
  13.891    1.919    2.992
  14.198    2.681    3.422
  13.212    1.577    3.578
   8.823   10.581    8.827
   8.183   10.753    8.148
   8.389   10.061    9.534
   9.078   11.967   12.734
   8.228   11.561   12.993
   9.512   12.194   13.560
  10.282    0.640    2.053
  10.367    0.959    3.016
   9.743    1.323    1.667
   4.618    8.125    7.777
   5.405    7.919    8.314
   4.002    8.458    8.422
   3.403    4.687    9.815
   3.109    5.272    9.097
   3.817    3.973    9.327
   3.276    7.465   19.325
   2.772    6.991   19.964
   3.604    8.288   19.753
   3.119   10.325   13.158
   3.598   10.900   12.512
   3.440    9.430   12.962
   2.378    5.806   16.253
   2.157    6.161   17.099
   3.301    6.032   16.126
   6.382   22.271    2.319
   5.550   22.035    1.847
   6.859   21.472    2.192
   4.017    3.905   19.418
   3.142    4.042   19.132
   4.582    4.727   19.295
   2.344   20.472   21.631
   2.932   20.821   20.945
   1.467   20.548   21.138
  14.526   10.532   20.137
  14.162    9.733   20.503
  14.466   10.420   19.194
   5.573   14.804   19.090
   5.959   15.339   19.808
   5.869   15.413   18.331
   5.458   13.097    4.589
   5.673   13.019    3.612
   4.899   13.894    4.657
   4.552    1.370   20.330
   4.274    2.194   19.953
   4.235    0.801   19.571
   5.160   13.744    7.954
   6.048   13.422    8.207
   5.008   14.493    8.528
  10.390    6.386   18.828
  10.688    6.484   19.731
   9.844    5.589   18.921
   1.678   21.942    1.035
   1.272   21.280    1.592
   1.498   22.809    1.493
   9.630   21.547    3.000
   9.601   22.471    2.643
   9.287   20.954    2.312
   2.344   10.571    2.624
   2.122   10.753    3.553
   2.947    9.791    2.617
   0.823   23.668    2.888
   1.636   23.316    3.340
   0.253   23.978    3.640
   2.710    6.185    7.540
   2.467    6.236    6.561
   3.410    6.855    7.580
   6.911   19.458   17.335
   7.517   20.118   16.957
   6.315   19.136   16.588
  13.540   22.220    2.748
  12.965   22.475    3.462
  14.428   22.404    3.074
  10.929   14.750    5.718
  10.050   14.541    5.408
  11.401   13.879    5.717
   0.747    4.469   10.579
   0.426    3.568   10.339
   1.505    4.585    9.990
   5.356    5.388   16.046
   5.884    6.064   16.461
   5.592    4.622   16.537
  10.704    6.721   15.883
  10.901    6.912   16.836
  10.127    5.972   15.998
  11.763   19.614    9.958
  12.279   20.405    9.866
  12.435   18.905    9.901
   7.027    2.224   13.411
   6.185    2.801   13.535
   6.692    1.403   13.742
   4.028    7.699   12.776
   4.577    7.193   12.138
   3.171    7.320   12.544
  12.493    9.451    2.215
  12.908    9.840    2.987
  12.982    8.641    2.039
  11.177    9.610    7.928
  10.443   10.172    8.053
  10.866    8.788    8.298
   1.838    3.206   15.398
   2.201    4.081   15.545
   2.117    2.999   14.422
   1.899   11.624   17.893
   1.139   11.678   17.305
   2.258   12.535   17.855
   9.220   13.904   17.340
  10.062   14.198   17.738
   9.394   12.999   17.102
   3.458    9.868   22.419
   4.398   10.016   22.654
   3.448   10.189   21.495
  15.430    3.274    7.407
  15.458    2.741    8.157
  15.933    2.740    6.770
  13.134    4.535    6.559
  12.434    3.932    6.938
  13.959    4.162    6.965
  10.295   14.066   14.320
  10.592   14.067   15.226
   9.322   14.226   14.350
   7.830   19.751    1.995
   7.257   19.870    1.247
   8.329   18.923    1.885
  15.027   11.249    9.806
  15.636   10.953    9.104
  14.929   12.194    9.545
  10.274   11.448   20.959
  10.893   11.073   21.654
  10.344   10.891   20.238
  11.473    6.075   21.702
  12.046    5.667   22.431
  10.554    5.939   22.100
   6.800   16.659   17.184
   7.143   16.649   16.327
   7.109   17.502   17.568
  14.603   18.110    3.213
  14.275   17.655    3.963
  13.842   18.606    2.878
   4.753   20.139    5.475
   4.769   21.053    5.846
   5.663   20.031    5.201
   1.615   17.355   14.355
   1.225   16.480   14.420
   0.859   17.984   14.051
  11.087   15.787   20.150
  11.221   14.877   19.698
  11.936   15.940   20.591
   9.784   18.060   16.439
  10.576   18.166   15.922
   9.941   18.584   17.234
   2.369   19.620   10.838
