LAMMPS data file via write_data, version 9 Nov 2016, timestep = 100000

500 atoms
1 atom types

1.2553519977148806e+00 2.3744648002278225e+01 xlo xhi
1.2553519977148806e+00 2.3744648002278225e+01 ylo yhi
1.2553519977148806e+00 2.3744648002278225e+01 zlo zhi

Masses

1 62.5

Pair Coeffs # lj/cut

1 1.1 2.8

Atoms # full

412 0 1 0.0000000000000000e+00 2.9471478482662330e+00 3.3044514757367764e+00 3.3052428351190573e+00 0 0 1
113 0 1 0.0000000000000000e+00 1.5860373566232791e+01 1.1840553422220029e+01 1.4921199881952212e+00 0 0 0
9 0 1 0.0000000000000000e+00 7.3358207865553542e+00 3.2388498235856491e+00 3.4181987766250082e+00 0 0 0
432 0 1 0.0000000000000000e+00 1.0463029558579258e+01 3.6653203236330989e+00 4.0807957196909452e+00 0 0 1
105 0 1 0.0000000000000000e+00 1.2558337919382286e+01 1.5495283781783966e+00 4.0292716885553013e+00 0 0 0
440 0 1 0.0000000000000000e+00 1.2392585134438326e+01 4.1036497311335012e+00 2.0314966315159668e+00 0 0 1
139 0 1 0.0000000000000000e+00 1.4378677977949524e+01 3.7756210534492074e+00 4.1005550027874911e+00 0 0 0
114 0 1 0.0000000000000000e+00 1.4563069687698981e+01 1.6859653966553867e+00 1.7338690336048050e+00 0 0 0
35 0 1 0.0000000000000000e+00 1.6626720961424937e+01 4.0936806331000799e+00 1.7914530868374974e+00 0 0 0
1 0 1 0.0000000000000000e+00 1.9177932822860036e+01 1.8948168059189694e+00 1.9191065666569789e+00 -1 0 0
134 0 1 0.0000000000000000e+00 1.6641612043776632e+01 1.7893637958680133e+00 3.9668777619873539e+00 0 0 0
200 0 1 0.0000000000000000e+00 1.9962207750788302e+01 2.3283082479494834e+00 4.6976199552991424e+00 0 1 0
22 0 1 0.0000000000000000e+00 1.9997883222653172e+01 4.7671450566878537e+00 2.9835449410998582e+00 -1 0 0
107 0 1 0.0000000000000000e+00 2.2105222172343709e+01 2.4644057961574930e+00 2.5687285975812748e+00 -1 0 0
51 0 1 0.0000000000000000e+00 2.9664660036621706e+00 7.6824454363555610e+00 3.6348154191809434e+00 0 0 0
