dump_lebedeva_000.cfg:2 0.05 0.05 3.35 -7.28468e-07 4.85145e-07 4.85145e-07 -1.6334e-07 
dump_lebedeva_001.cfg:2 0.05 0.05 3.35 -7.28468e-07 4.85145e-07 4.85145e-07 -1.6334e-07 
dump_lebedeva_002.cfg:2 0.1 0.1 3.35 -7.5313e-07 5.01468e-07 5.01468e-07 -1.69689e-07 
dump_lebedeva_003.cfg:2 0.15 0.15 3.35 -7.78625e-07 5.18417e-07 5.18417e-07 -1.76314e-07 
dump_lebedeva_004.cfg:2 0.2 0.2 3.35 -8.04983e-07 5.36017e-07 5.36017e-07 -1.8323e-07 
dump_lebedeva_005.cfg:2 0.25 0.25 3.35 -8.32238e-07 5.54298e-07 5.54298e-07 -1.90451e-07 
dump_lebedeva_006.cfg:2 0.3 0.3 3.35 -8.60425e-07 5.73288e-07 5.73288e-07 -1.97991e-07 
dump_lebedeva_007.cfg:2 0.35 0.35 3.35 -8.89579e-07 5.93019e-07 5.93019e-07 -2.05867e-07 
dump_lebedeva_008.cfg:2 0.4 0.4 3.35 -9.19739e-07 6.13522e-07 6.13522e-07 -2.14094e-07 
dump_lebedeva_009.cfg:2 0.45 0.45 3.35 -9.50945e-07 6.34832e-07 6.34832e-07 -2.2269e-07 
dump_lebedeva_010.cfg:2 0.5 0.5 3.35 -9.83237e-07 6.56984e-07 6.56984e-07 -2.31673e-07 
dump_lebedeva_011.cfg:2 0.55 0.55 3.35 -1.01666e-06 6.80016e-07 6.80016e-07 -2.41064e-07 
dump_lebedeva_012.cfg:2 0.6 0.6 3.35 -1.05125e-06 7.03966e-07 7.03966e-07 -2.50881e-07 
dump_lebedeva_013.cfg:2 0.65 0.65 3.35 -1.08707e-06 7.28875e-07 7.28875e-07 -2.61148e-07 
dump_lebedeva_014.cfg:2 0.7 0.7 3.35 -1.12416e-06 7.54787e-07 7.54787e-07 -2.71886e-07 
dump_lebedeva_015.cfg:2 0.75 0.75 3.35 -1.16257e-06 7.81747e-07 7.81747e-07 -2.83119e-07 
dump_lebedeva_016.cfg:2 0.8 0.8 3.35 -1.20235e-06 8.09802e-07 8.09802e-07 -2.94873e-07 
dump_lebedeva_017.cfg:2 0.85 0.85 3.35 -1.24357e-06 8.39001e-07 8.39001e-07 -3.07175e-07 
dump_lebedeva_018.cfg:2 0.9 0.9 3.35 -1.28627e-06 8.69398e-07 8.69398e-07 -3.20053e-07 
dump_lebedeva_019.cfg:2 0.95 0.95 3.35 -1.33053e-06 9.01046e-07 9.01046e-07 -3.33537e-07 
dump_lebedeva_020.cfg:2 1 1 3.35 -1.3764e-06 9.34005e-07 9.34005e-07 -3.47657e-07 
dump_lebedeva_021.cfg:2 1.05 1.05 3.35 -1.42395e-06 9.68333e-07 9.68333e-07 -3.62449e-07 
dump_lebedeva_022.cfg:2 1.1 1.1 3.35 -1.47325e-06 1.0041e-06 1.0041e-06 -3.77946e-07 
dump_lebedeva_023.cfg:2 1.15 1.15 3.35 -1.52438e-06 1.04136e-06 1.04136e-06 -3.94187e-07 
dump_lebedeva_024.cfg:2 1.2 1.2 3.35 -1.57742e-06 1.08019e-06 1.08019e-06 -4.1121e-07 
dump_lebedeva_025.cfg:2 1.25 1.25 3.35 -1.63243e-06 1.12067e-06 1.12067e-06 -4.29058e-07 
dump_lebedeva_026.cfg:2 1.3 1.3 3.35 -1.68951e-06 1.16288e-06 1.16288e-06 -4.47775e-07 
dump_lebedeva_027.cfg:2 1.35 1.35 3.35 -1.74875e-06 1.20689e-06 1.20689e-06 -4.67407e-07 
dump_lebedeva_028.cfg:2 1.4 1.4 3.35 -1.81023e-06 1.25279e-06 1.25279e-06 -4.88004e-07 
dump_lebedeva_029.cfg:2 1.45 1.45 3.35 -1.87406e-06 1.30067e-06 1.30067e-06 -5.0962e-07 
dump_lebedeva_030.cfg:2 1.5 1.5 3.35 -1.94033e-06 1.35063e-06 1.35063e-06 -5.32308e-07 
dump_lebedeva_031.cfg:2 1.55 1.55 3.35 -2.00916e-06 1.40277e-06 1.40277e-06 -5.56129e-07 
dump_lebedeva_032.cfg:2 1.6 1.6 3.35 -2.08065e-06 1.4572e-06 1.4572e-06 -5.81145e-07 
dump_lebedeva_033.cfg:2 1.65 1.65 3.35 -2.15492e-06 1.51402e-06 1.51402e-06 -6.07422e-07 
dump_lebedeva_034.cfg:2 1.7 1.7 3.35 -2.23209e-06 1.57336e-06 1.57336e-06 -6.3503e-07 
dump_lebedeva_035.cfg:2 1.75 1.75 3.35 -2.3123e-06 1.63533e-06 1.63533e-06 -6.64045e-07 
dump_lebedeva_036.cfg:2 1.8 1.8 3.35 -2.39567e-06 1.70008e-06 1.70008e-06 -6.94545e-07 
dump_lebedeva_037.cfg:2 1.85 1.85 3.35 -2.48236e-06 1.76774e-06 1.76774e-06 -7.26615e-07 
dump_lebedeva_038.cfg:2 1.9 1.9 3.35 -2.5725e-06 1.83844e-06 1.83844e-06 -7.60344e-07 
dump_lebedeva_039.cfg:2 1.95 1.95 3.35 -2.66625e-06 1.91236e-06 1.91236e-06 -7.95827e-07 
dump_lebedeva_040.cfg:2 2 2 3.35 -2.76379e-06 1.98965e-06 1.98965e-06 -8.33165e-07 
dump_lebedeva_041.cfg:2 2.05 2.05 3.35 -2.86528e-06 2.07047e-06 2.07047e-06 -8.72464e-07 
dump_lebedeva_042.cfg:2 2.1 2.1 3.35 -2.9709e-06 2.15503e-06 2.15503e-06 -9.1384e-07 
dump_lebedeva_043.cfg:2 2.15 2.15 3.35 -3.08085e-06 2.24349e-06 2.24349e-06 -9.57413e-07 
dump_lebedeva_044.cfg:2 2.2 2.2 3.35 -3.19532e-06 2.33607e-06 2.33607e-06 -1.00331e-06 
dump_lebedeva_045.cfg:2 2.25 2.25 3.35 -3.31452e-06 2.43298e-06 2.43298e-06 -1.05167e-06 
dump_lebedeva_046.cfg:2 2.3 2.3 3.35 -3.43869e-06 2.53444e-06 2.53444e-06 -1.10265e-06 
dump_lebedeva_047.cfg:2 2.35 2.35 3.35 -3.56805e-06 2.6407e-06 2.6407e-06 -1.15638e-06 
dump_lebedeva_048.cfg:2 2.4 2.4 3.35 -3.70284e-06 2.752e-06 2.752e-06 -1.21305e-06 
dump_lebedeva_049.cfg:2 2.45 2.45 3.35 -3.84334e-06 2.86861e-06 2.86861e-06 -1.27283e-06 
dump_lebedeva_050.cfg:2 2.5 2.5 3.35 -3.9898e-06 2.99082e-06 2.99082e-06 -1.3359e-06 
dump_lebedeva_051.cfg:2 2.55 2.55 3.35 -4.14252e-06 3.11892e-06 3.11892e-06 -1.40247e-06 
dump_lebedeva_052.cfg:2 2.6 2.6 3.35 -4.30179e-06 3.25323e-06 3.25323e-06 -1.47275e-06 
dump_lebedeva_053.cfg:2 2.65 2.65 3.35 -4.46795e-06 3.39408e-06 3.39408e-06 -1.54696e-06 
dump_lebedeva_054.cfg:2 2.7 2.7 3.35 -4.64132e-06 3.54184e-06 3.54184e-06 -1.62536e-06 
dump_lebedeva_055.cfg:2 2.75 2.75 3.35 -4.82225e-06 3.69686e-06 3.69686e-06 -1.70821e-06 
dump_lebedeva_056.cfg:2 2.8 2.8 3.35 -5.01113e-06 3.85956e-06 3.85956e-06 -1.79577e-06 
dump_lebedeva_057.cfg:2 2.85 2.85 3.35 -5.20835e-06 4.03036e-06 4.03036e-06 -1.88835e-06 
dump_lebedeva_058.cfg:2 2.9 2.9 3.35 -5.41431e-06 4.2097e-06 4.2097e-06 -1.98627e-06 
dump_lebedeva_059.cfg:2 2.95 2.95 3.35 -5.62947e-06 4.39805e-06 4.39805e-06 -2.08985e-06 
dump_lebedeva_060.cfg:2 3 3 3.35 -5.85427e-06 4.59593e-06 4.59593e-06 -2.19948e-06 
dump_lebedeva_061.cfg:2 3.05 3.05 3.35 -6.08923e-06 4.80386e-06 4.80386e-06 -2.31553e-06 
dump_lebedeva_062.cfg:2 3.1 3.1 3.35 -6.33484e-06 5.02241e-06 5.02241e-06 -2.43842e-06 
dump_lebedeva_063.cfg:2 3.15 3.15 3.35 -6.59165e-06 5.25219e-06 5.25219e-06 -2.56859e-06 
dump_lebedeva_064.cfg:2 3.2 3.2 3.35 -6.86025e-06 5.49384e-06 5.49384e-06 -2.70652e-06 
dump_lebedeva_065.cfg:2 3.25 3.25 3.35 -7.14125e-06 5.74802e-06 5.74802e-06 -2.85272e-06 
dump_lebedeva_066.cfg:2 3.3 3.3 3.35 -7.43528e-06 6.01548e-06 6.01548e-06 -3.00774e-06 
dump_lebedeva_067.cfg:2 3.35 3.35 3.35 -7.74303e-06 6.29696e-06 6.29696e-06 -3.17215e-06 
dump_lebedeva_068.cfg:2 3.4 3.4 3.35 -8.06522e-06 6.5933e-06 6.5933e-06 -3.3466e-06 
dump_lebedeva_069.cfg:2 3.45 3.45 3.35 -8.40262e-06 6.90535e-06 6.90535e-06 -3.53174e-06 
dump_lebedeva_070.cfg:2 3.5 3.5 3.35 -8.75603e-06 7.23404e-06 7.23404e-06 -3.72831e-06 
dump_lebedeva_071.cfg:2 3.55 3.55 3.35 -9.12632e-06 7.58035e-06 7.58035e-06 -3.93708e-06 
dump_lebedeva_072.cfg:2 3.6 3.6 3.35 -9.51438e-06 7.94533e-06 7.94533e-06 -4.15889e-06 
