

      2100    atoms
      2600    bonds
         0    angles
         0    dihedrals
         0    impropers

         4    atom types
         1    bond types

      -6.54473000       6.54473000   xlo xhi
      -6.54473000       6.54473000   ylo yhi
      -6.54473000       6.54473000   zlo zhi

Atoms

     1      1  4   0.00    3.1312   -3.4487    0.0619     -1      0      0
     2      1  1   0.00    3.3139   -3.9521   -0.7947     -1      0      0
     3      1  1   0.00    3.3570   -4.1740   -1.8680     -1      0      0
     4      2  4   0.00   -2.7485    5.5431   -0.2604      0     -1      0
     5      2  1   0.00   -2.4261    6.2933   -0.8372      0     -1      0
     6      2  1   0.00   -3.0811   -6.0948   -1.2326      0      0      0
     7      3  4   0.00   -5.0191   -0.5740    1.0470      0     -1      0
     8      3  1   0.00   -4.2591   -0.3321    1.8617      0     -1      0
     9      3  1   0.00   -4.1726    0.4819    2.2905      0     -1      0
    10      4  4   0.00   -4.7666    4.5771   -6.2657      1     -1      0
    11      4  1   0.00   -5.1360    4.0351    6.1842      1     -1     -1
    12      4  1   0.00   -5.3384    3.1851    5.8184      1     -1     -1
    13      5  4   0.00   -2.8714    2.4206   -5.4022      0      0      0
    14      5  1   0.00   -2.9338    2.0520   -4.4742      0      0      0
    15      5  1   0.00   -3.7204    1.5226   -4.3161      0      0      0
    16      6  4   0.00   -3.0784    5.7314    3.9601      0     -1     -1
    17      6  1   0.00   -2.7220    5.6414    4.8921      0     -1     -1
    18      6  1   0.00   -3.7972    5.4070    5.2267      0     -1     -1
    19      7  4   0.00    5.6840    3.1507    3.8283      0     -1      0
    20      7  1   0.00    6.2694    2.2929    4.0359      0     -1      0
    21      7  1   0.00    6.1924    2.9157    4.7168      0     -1      0
    22      8  4   0.00   -1.0582   -2.6345   -5.3409      0      0      0
    23      8  1   0.00   -0.2893   -2.4588   -5.2074      0      0      0
    24      8  1   0.00   -0.8290   -3.1390   -4.5635      0      0      0
    25      9  3   0.00    3.4790   -6.4225    4.1131      0      0     -1
    26      9  1   0.00    3.9829   -5.8597    4.7497      0      0     -1
    27      9  1   0.00    3.0975   -5.5659    4.5138      0      0     -1
    28     10  3   0.00   -4.5603   -3.7139   -0.1425      0      0      0
    29     10  1   0.00   -4.4729   -3.4416   -1.0567      0      0      0
    30     10  1   0.00   -5.1844   -3.9735   -0.8077      0      0      0
    31     11  4   0.00    4.4402    6.5237   -6.4887      0     -1      0
    32     11  1   0.00    4.9053   -5.6879   -6.2953      0      0      0
    33     11  1   0.00    4.9302   -5.1653   -5.3338      0      0      0
    34     12  4   0.00   -6.1553    1.0129    3.6822      1      0     -1
    35     12  1   0.00   -6.4328    0.3973    2.8748      1      0     -1
    36     12  1   0.00   -5.7915   -0.1579    3.2249      1      0     -1
    37     13  4   0.00   -1.0697   -2.4076   -1.1628      0      0      0
    38     13  1   0.00   -0.5097   -1.7499   -1.5048      0      0      0
    39     13  1   0.00   -1.2049   -2.2177   -2.1672      0      0      0
    40     14  4   0.00    1.2759    1.4547   -3.8521      0      0      0
    41     14  1   0.00    1.4954    1.1316   -4.9519      0      0      0
    42     14  1   0.00    1.3297    2.0294   -5.1817      0      0      0
    43     15  3   0.00    3.8289    5.9305    5.9918      0     -1     -1
    44     15  1   0.00    2.8081    6.4280    6.1872      0     -1     -1
    45     15  1   0.00    2.1335    6.4518   -6.4010      0     -1      0
    46     16  4   0.00    3.8506    3.3111   -0.2789     -1      0     -1
    47     16  1   0.00    3.6541    4.2573   -0.2765     -1      0     -1
    48     16  1   0.00    3.1877    3.6034    0.4335     -1      0     -1
